id,station_name,city,county,state,latitude,longitude,ev_level2_evse_num,ev_dc_fast_num,ev_network
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
1525,LADWP - John Ferraro Building,Los Angeles,,CA,34.059133,-118.248589,338,12,Non-Networked
